"bin_extents","bin_values","Points:0","Points:1","Points:2"
0.0012656,4,0.0012656,4,0
0.0037968,8,0.0037968,8,0
0.0063281,8,0.0063281,8,0
0.0088593,8,0.0088593,8,0
0.011391,16,0.011391,16,0
0.013922,18,0.013922,18,0
0.016453,18,0.016453,18,0
0.018984,22,0.018984,22,0
0.021515,26,0.021515,26,0
0.024047,30,0.024047,30,0
0.026578,28,0.026578,28,0
0.029109,34,0.029109,34,0
0.03164,34,0.03164,34,0
0.034172,36,0.034172,36,0
0.036703,46,0.036703,46,0
0.039234,46,0.039234,46,0
0.041765,42,0.041765,42,0
0.044297,48,0.044297,48,0
0.046828,60,0.046828,60,0
0.049359,54,0.049359,54,0
0.05189,58,0.05189,58,0
0.054421,58,0.054421,58,0
0.056953,74,0.056953,74,0
0.059484,62,0.059484,62,0
0.062015,64,0.062015,64,0
0.064546,76,0.064546,76,0
0.067078,84,0.067078,84,0
0.069609,74,0.069609,74,0
0.07214,80,0.07214,80,0
0.074671,90,0.074671,90,0
0.077203,90,0.077203,90,0
0.079734,90,0.079734,90,0
0.082265,104,0.082265,104,0
0.084796,86,0.084796,86,0
0.087327,104,0.087327,104,0
0.089859,112,0.089859,112,0
0.09239,106,0.09239,106,0
0.094921,112,0.094921,112,0
0.097452,122,0.097452,122,0
0.099984,108,0.099984,108,0
0.10251,134,0.10251,134,0
0.10505,126,0.10505,126,0
0.10758,126,0.10758,126,0
0.11011,150,0.11011,150,0
0.11264,142,0.11264,142,0
0.11517,112,0.11517,112,0
0.1177,172,0.1177,172,0
0.12023,140,0.12023,140,0
0.12276,150,0.12276,150,0
0.1253,186,0.1253,186,0
0.12783,152,0.12783,152,0
0.13036,160,0.13036,160,0
0.13289,196,0.13289,196,0
0.13542,168,0.13542,168,0
0.13795,192,0.13795,192,0
0.14048,188,0.14048,188,0
0.14301,186,0.14301,186,0
0.14555,228,0.14555,228,0
0.14808,186,0.14808,186,0
0.15061,210,0.15061,210,0
0.15314,246,0.15314,246,0
0.15567,198,0.15567,198,0
0.1582,246,0.1582,246,0
0.16073,248,0.16073,248,0
0.16326,242,0.16326,242,0
0.1658,276,0.1658,276,0
0.16833,234,0.16833,234,0
0.17086,278,0.17086,278,0
0.17339,278,0.17339,278,0
0.17592,290,0.17592,290,0
0.17845,316,0.17845,316,0
0.18098,284,0.18098,284,0
0.18351,336,0.18351,336,0
0.18605,336,0.18605,336,0
0.18858,340,0.18858,340,0
0.19111,370,0.19111,370,0
0.19364,368,0.19364,368,0
0.19617,384,0.19617,384,0
0.1987,398,0.1987,398,0
0.20123,438,0.20123,438,0
0.20376,454,0.20376,454,0
0.2063,460,0.2063,460,0
0.20883,514,0.20883,514,0
0.21136,548,0.21136,548,0
0.21389,534,0.21389,534,0
0.21642,692,0.21642,692,0
0.21895,742,0.21895,742,0
0.22148,946,0.22148,946,0
0.22401,814,0.22401,814,0
0.22655,756,0.22655,756,0
0.22908,622,0.22908,622,0
0.23161,622,0.23161,622,0
0.23414,560,0.23414,560,0
0.23667,554,0.23667,554,0
0.2392,528,0.2392,528,0
0.24173,498,0.24173,498,0
0.24426,484,0.24426,484,0
0.2468,492,0.2468,492,0
0.24933,470,0.24933,470,0
0.25186,468,0.25186,468,0
0.25439,430,0.25439,430,0
0.25692,446,0.25692,446,0
0.25945,446,0.25945,446,0
0.26198,406,0.26198,406,0
0.26451,424,0.26451,424,0
0.26704,408,0.26704,408,0
0.26958,400,0.26958,400,0
0.27211,404,0.27211,404,0
0.27464,394,0.27464,394,0
0.27717,384,0.27717,384,0
0.2797,380,0.2797,380,0
0.28223,388,0.28223,388,0
0.28476,384,0.28476,384,0
0.28729,372,0.28729,372,0
0.28983,352,0.28983,352,0
0.29236,376,0.29236,376,0
0.29489,356,0.29489,356,0
0.29742,366,0.29742,366,0
0.29995,350,0.29995,350,0
0.30248,366,0.30248,366,0
0.30501,316,0.30501,316,0
0.30754,300,0.30754,300,0
0.31008,302,0.31008,302,0
0.31261,304,0.31261,304,0
0.31514,82,0.31514,82,0
0.31767,42,0.31767,42,0
0.3202,42,0.3202,42,0
0.32273,40,0.32273,40,0
