"bin_extents","bin_values","Points:0","Points:1","Points:2"
0.0012656,0.00012207,0.0012656,0.00012207,0
0.0037968,0.00024414,0.0037968,0.00024414,0
0.0063281,0.00024414,0.0063281,0.00024414,0
0.0088593,0.00024414,0.0088593,0.00024414,0
0.011391,0.00048828,0.011391,0.00048828,0
0.013922,0.00054932,0.013922,0.00054932,0
0.016453,0.00054932,0.016453,0.00054932,0
0.018984,0.00067139,0.018984,0.00067139,0
0.021515,0.00079346,0.021515,0.00079346,0
0.024047,0.00091553,0.024047,0.00091553,0
0.026578,0.00085449,0.026578,0.00085449,0
0.029109,0.0010376,0.029109,0.0010376,0
0.03164,0.0010376,0.03164,0.0010376,0
0.034172,0.0010986,0.034172,0.0010986,0
0.036703,0.0014038,0.036703,0.0014038,0
0.039234,0.0014038,0.039234,0.0014038,0
0.041765,0.0012817,0.041765,0.0012817,0
0.044297,0.0014648,0.044297,0.0014648,0
0.046828,0.0018311,0.046828,0.0018311,0
0.049359,0.0016479,0.049359,0.0016479,0
0.05189,0.00177,0.05189,0.00177,0
0.054421,0.00177,0.054421,0.00177,0
0.056953,0.0022583,0.056953,0.0022583,0
0.059484,0.0018921,0.059484,0.0018921,0
0.062015,0.0019531,0.062015,0.0019531,0
0.064546,0.0023193,0.064546,0.0023193,0
0.067078,0.0025635,0.067078,0.0025635,0
0.069609,0.0022583,0.069609,0.0022583,0
0.07214,0.0024414,0.07214,0.0024414,0
0.074671,0.0027466,0.074671,0.0027466,0
0.077203,0.0027466,0.077203,0.0027466,0
0.079734,0.0027466,0.079734,0.0027466,0
0.082265,0.0031738,0.082265,0.0031738,0
0.084796,0.0026245,0.084796,0.0026245,0
0.087327,0.0031738,0.087327,0.0031738,0
0.089859,0.003418,0.089859,0.003418,0
0.09239,0.0032349,0.09239,0.0032349,0
0.094921,0.003418,0.094921,0.003418,0
0.097452,0.0037231,0.097452,0.0037231,0
0.099984,0.0032959,0.099984,0.0032959,0
0.10251,0.0040894,0.10251,0.0040894,0
0.10505,0.0038452,0.10505,0.0038452,0
0.10758,0.0038452,0.10758,0.0038452,0
0.11011,0.0045776,0.11011,0.0045776,0
0.11264,0.0043335,0.11264,0.0043335,0
0.11517,0.003418,0.11517,0.003418,0
0.1177,0.005249,0.1177,0.005249,0
0.12023,0.0042725,0.12023,0.0042725,0
0.12276,0.0045776,0.12276,0.0045776,0
0.1253,0.0056763,0.1253,0.0056763,0
0.12783,0.0046387,0.12783,0.0046387,0
0.13036,0.0048828,0.13036,0.0048828,0
0.13289,0.0059814,0.13289,0.0059814,0
0.13542,0.005127,0.13542,0.005127,0
0.13795,0.0058594,0.13795,0.0058594,0
0.14048,0.0057373,0.14048,0.0057373,0
0.14301,0.0056763,0.14301,0.0056763,0
0.14555,0.006958,0.14555,0.006958,0
0.14808,0.0056763,0.14808,0.0056763,0
0.15061,0.0064087,0.15061,0.0064087,0
0.15314,0.0075073,0.15314,0.0075073,0
0.15567,0.0060425,0.15567,0.0060425,0
0.1582,0.0075073,0.1582,0.0075073,0
0.16073,0.0075684,0.16073,0.0075684,0
0.16326,0.0073853,0.16326,0.0073853,0
0.1658,0.0084229,0.1658,0.0084229,0
